scheduled_date,video_id,duration,caption,registry_file
"Jun 3, 6:00 PM",7645966686616702224,00:16,"全部どうでもよかった日に、できた曲。",b01_s1_emo.mp4
"Jun 4, 6:00 PM",7645966727318179089,00:18,"見せかけの優しさは、いらなかった。",
"Jun 5, 6:00 PM",7645966678530034960,00:18,"見せかけの優しさは、いらなかった。",
"Jun 6, 6:00 PM",7645966762890005777,00:16,"見せかけの優しさは、いらなかった。",
"Jun 7, 6:00 PM",7645966755549973776,00:15,"見せかけの優しさは、いらなかった。",
"Jun 8, 6:00 PM",7645966712889740560,00:20,"見せかけの優しさは、いらなかった。",
"Jun 9, 6:00 PM",7645966713137237249,00:16,"見せかけの優しさは、いらなかった。",
